"last_name, first_name","player_id","year","p_era","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break","offspeed_range_speed",""
"Yarbrough, Ryan","642232","2019","4.13","60.9","85.7","2101","4.6","-28.5","12.7","2.8","13.5","72.8","2405","-14.5","-50.6","15.1","2.2","25.6","79.5","2123","17.3","-37","18.7","1.4",
"Strasburg, Stephen","544931","2019","3.32","48.3","93.8","2152","-12.1","-17.6","18.2","1.2","31","81.3","2767","12.8","-49.3","15.2","1.6","20.7","87.7","1679","-15.5","-32.1","15.9","1.2",
"Junis, Jakob","596001","2019","5.24","50.9","91.5","2026","-8.4","-20.8","15.6","1.3","43.7","81.4","2490","14.9","-45","15.3","2.1","5.4","84.6","1336","-4.5","-34.1","7.5","1.6",
"Arrieta, Jake","453562","2019","4.64","56.5","92.4","2197","-16.2","-23.1","19","1.2","25.4","84.9","2575","8.6","-41.1","13.8","5.2","18.2","87.5","1730","-17","-35.7","17.3","1.3",
"Buehler, Walker","621111","2019","3.26","73.3","95.9","2491","-3.8","-14.1","17.1","2.1","26.2","84","2891","10.7","-47.7","15.1","4","0.5","91.6","1516","-12.9","-26.1","14.5","1.4",
"Pineda, Michael","501381","2019","4.01","55.3","92.5","1998","-6.2","-18.6","15","1.6","29.4","83.9","2012","-1.4","-37.4","3.2","1.8","15.3","87.1","1864","-15.4","-27.6","17.7","1.5",
"Duffy, Danny","518633","2019","4.34","53.1","92.3","2232","8.2","-15.2","18.7","1.5","35.4","82","2320","-4.5","-44.1","8.4","4.2","11.5","83.8","2295","14.8","-27.5","18.6","1.5",
"Anderson, Brett","474463","2019","3.89","62.4","90.3","1867","11.3","-24.8","15.9","2.1","24.1","80.5","2386","-5.3","-53.5","11.5","3.3","13.4","82.6","1481","14","-34.2","15.9","1.8",
"Alcantara, Sandy","645261","2019","3.88","57.8","95.5","2374","-13.1","-19.2","18.4","1.6","30.1","84.8","2479","4.7","-40","6.1","2.7","12.1","89.1","1923","-16.1","-30.5","17","1.4",
"Mahle, Tyler","641816","2019","5.14","64.1","92.9","2193","-10.4","-18","17.5","2.1","23.2","80.4","2595","7.5","-50.2","10.6","1.9","12.8","87","1632","-10.9","-31.6","12","1.8",
